Date,Open,High,Low,Close,Volume,Range,Range (BTC),Action
2/17/15,233.421997,245.774994,232.313995,243.610001,27363100,13.460999,0.056436462,Hold
2/18/15,243.779999,244.251007,232.339996,236.326004,25200800,11.911011,0.049618255,Hold
2/19/15,236.410004,242.671997,235.591995,240.283005,18270500,7.080002,0.029704661,Hold
2/20/15,240.251007,247.100998,239.298996,243.779007,23876700,7.802002,0.032237679,Hold
2/21/15,243.751999,255.320007,243.184006,244.533997,12284200,12.136001,0.049708577,Hold
2/22/15,244.544006,246.391998,233.850998,235.977005,19527000,12.541,0.052197509,Hold
2/23/15,235.994995,240.108994,232.421005,238.891998,16400000,7.687989,0.032378183,Hold
2/24/15,238.998001,239.901001,236.401993,238.735001,14200400,3.499008,0.014648383,Hold
2/25/15,238.889999,239.339996,235.529999,237.470001,11496200,3.809997,0.015996293,Hold
2/26/15,237.337006,237.710007,234.257004,236.425995,13619400,3.453003,0.014576921,Hold
2/27/15,236.436005,256.653015,236.436005,253.828003,44013900,20.21701,0.082473972,Hold
2/28/15,253.520004,254.692001,249.479004,254.263,13949300,5.212997,0.020532381,Hold
3/1/15,254.283005,261.660004,245.932999,260.201996,25213700,15.727005,0.061136884,Hold
3/2/15,260.356995,276.300995,258.312988,275.670013,40465700,17.988007,0.067116047,Hold
3/3/15,275.04599,285.79599,268.161011,281.701996,50461300,17.634979,0.063349952,Hold
3/4/15,281.98999,284.225006,268.126007,273.09201,41383000,16.098999,0.058005841,Hold
3/5/15,272.739014,281.666992,264.769012,276.178009,41302400,16.89798,0.061568431,Hold
3/6/15,275.600006,277.608002,270.015015,272.722992,28918900,7.592987,0.027695307,Hold
3/7/15,272.294006,277.854004,270.132996,276.260986,17825900,7.721008,0.028150352,Hold
3/8/15,276.433014,277.858002,272.565002,274.354004,22067900,5.293,0.01921977,Hold
3/9/15,274.812012,292.700989,273.893005,289.606995,59178200,18.807984,0.066645466,Hold
3/10/15,289.862,300.044006,289.743011,291.76001,67770800,10.300995,0.035421613,Hold
3/11/15,291.524994,297.390991,290.507996,296.378998,33963900,6.882995,0.023415371,Hold
3/12/15,296.127014,297.088013,292.412994,294.354004,32585200,4.675019,0.015834612,Hold
3/13/15,294.118011,294.497986,285.337006,285.337006,31421500,9.16098,0.031619297,Hold
3/14/15,284.441986,286.34201,280.976013,281.88501,22612300,5.365997,0.018950172,Hold
3/15/15,281.424988,286.528992,280.996002,286.393005,11970100,5.53299,0.019488604,Hold
3/16/15,285.684998,294.112,285.684998,290.592987,21516100,8.427002,0.029246309,Hold
3/17/15,290.595001,292.36499,284.373993,285.505005,21497200,7.990997,0.027741701,Hold
3/18/15,285.066986,285.335999,249.869995,256.299011,57008000,35.466004,0.131024129,Hold
3/19/15,255.880005,264.243988,248.636002,260.928009,52732000,15.607986,0.060401486,Hold
3/20/15,260.955994,264.847992,259.161987,261.748993,18456700,5.686005,0.021756077,Hold
3/21/15,261.644012,262.196014,255.649994,260.024994,17130100,6.54602,0.02509645,Hold
3/22/15,259.916992,269.747009,259.589996,267.959991,18438100,10.157013,0.0384825,Hold
3/23/15,267.894989,277.296997,261.744995,266.73999,22811900,15.552002,0.058178019,Hold
3/24/15,266.576996,267.002991,244.154999,245.595001,40073700,22.847992,0.089219997,Hold
3/25/15,247.472,249.190002,236.514999,246.197006,35866900,12.675003,0.051350208,Hold
3/26/15,246.276001,254.354004,244.904999,248.531998,25730000,9.449005,0.038192612,Hold
3/27/15,248.565994,256.811005,245.212997,247.029007,17274900,11.598008,0.046804378,Hold
3/28/15,246.975006,254.205002,246.975006,252.798004,16040900,7.229996,0.028933119,Hold
3/29/15,252.740005,253.139008,240.850006,242.712997,21699400,12.289002,0.049607135,Hold
3/30/15,242.878998,249.242004,239.214005,247.526001,23009600,10.027999,0.040896806,Hold
3/31/15,247.453995,248.729996,242.738998,244.223999,22672000,5.990998,0.0243696,Hold
4/1/15,244.223007,247.541,241.160004,247.272003,22877200,6.380996,0.025965659,Hold
4/2/15,247.089005,254.460999,245.416,253.005005,26272600,9.044999,0.036173195,Hold
4/3/15,253.074005,256.042999,251.878998,254.322006,23146600,4.164001,0.016413219,Hold
4/4/15,254.291,255.257996,251.100006,253.697006,12493500,4.15799,0.016370426,Hold
4/5/15,253.761002,260.674988,251.942001,260.597992,19649200,8.732987,0.033956778,Hold
4/6/15,260.721008,261.798004,254.574997,255.492004,20034200,7.223007,0.027984599,Hold
4/7/15,255.274002,255.804993,252.205002,253.179993,18467400,3.599991,0.014160538,Hold
4/8/15,253.063995,253.847,244.214996,245.022003,30086400,9.632004,0.038676068,Hold
4/9/15,244.751007,246.117996,239.399994,243.675995,21643500,6.718002,0.027508725,Hold
4/10/15,243.694,243.694,232.770996,236.072006,28882000,10.923004,0.045534714,Hold
4/11/15,236.016006,239.537003,234.175003,236.552002,16365200,5.362,0.02269303,Hold
4/12/15,236.535004,237.727997,233.494995,236.153,12387900,4.233002,0.017910342,Hold
4/13/15,235.949997,236.934998,221.996002,224.587006,31181800,14.938996,0.06487642,Hold
4/14/15,224.759003,224.975998,216.322998,219.158997,31719000,8.653,0.038984677,Hold
4/15/15,219.072998,223.832993,218.649002,223.832993,22562000,5.183991,0.02340899,Hold
4/16/15,223.917007,229.671997,223.917007,228.572998,24805400,5.75499,0.025436982,Hold
4/17/15,228.574997,228.906006,221.942001,222.882004,20429800,6.964005,0.030851244,Hold
4/18/15,222.852997,224.315994,220.876007,223.356003,12939000,3.439987,0.015418725,Hold
4/19/15,223.455994,226.352997,222.373001,222.600006,15021500,3.979996,0.017845275,Hold
4/20/15,222.612,226.350998,221.977005,224.626007,18364700,4.373993,0.019560024,Hold
4/21/15,224.619995,235.268997,224.300995,235.268997,24978000,10.968002,0.047698476,Hold
4/22/15,235.602005,237.908997,233.475998,234.175995,23847900,4.432999,0.01887274,Hold
4/23/15,234.052994,236.475006,233.199005,236.462006,17036000,3.276001,0.013925171,Hold
4/24/15,235.970001,236.304993,229.932999,231.268005,21448700,6.371994,0.027275153,Hold
4/25/15,231.235001,232.561005,226.337006,226.389999,13957200,6.223999,0.027201307,Hold
4/26/15,226.410004,226.944,214.873993,219.429993,28943700,12.070007,0.054145017,Hold
4/27/15,219.429001,233.304993,218.022995,229.285995,38574000,15.281998,0.068114496,Hold
4/28/15,228.968994,229.494995,223.069,225.854996,21469200,6.425995,0.028257063,Hold
4/29/15,225.591003,227.039993,223.429993,225.807999,18936500,3.61,0.015994719,Hold
4/30/15,225.692993,239.563004,224.992996,236.145004,33818600,14.570008,0.063095753,Hold
5/1/15,235.938995,238.966003,232.078995,232.078995,18815300,6.887008,0.029430527,Hold
5/2/15,232.341003,235.727005,232.341003,234.929993,12535500,3.386002,0.014492669,Hold
5/3/15,234.880005,243.240005,234.082993,240.358002,18494100,9.157012,0.038536531,Hold
5/4/15,240.356003,242.638,237.809998,239.018005,21223400,4.828002,0.020142944,Hold
5/5/15,238.852005,239.203995,232.054001,236.121002,23929100,7.149994,0.030106949,Hold
5/6/15,236.248993,236.453995,229.231003,229.781998,29587200,7.222992,0.030997904,Hold
5/7/15,229.662003,239.104996,228.572998,237.334,29064400,10.531998,0.045105303,Hold
5/8/15,237.203995,246.274994,236.274002,243.863007,27445500,10.000992,0.041578375,Hold
5/9/15,243.768997,247.804001,239.639008,241.832001,19790500,8.164993,0.033628403,Hold
5/10/15,241.729004,244.067993,238.848999,240.296005,15019100,5.218994,0.021654453,Hold
5/11/15,240.298996,244.270004,239.376007,242.158005,20892300,4.893997,0.020287806,Hold
5/12/15,242.145004,242.880997,240.098999,241.112,19282600,2.781998,0.011513534,Hold
5/13/15,241.397995,243.703995,235.044998,236.376999,27180100,8.658997,0.036247175,Hold
5/14/15,236.214005,237.798996,234.057007,236.929001,24413700,3.741989,0.015817581,Hold
5/15/15,236.955002,238.753006,236.794998,237.604996,16329400,1.958008,0.008251888,Hold
5/16/15,237.643997,237.697006,235.294998,236.153,11089700,2.402008,0.010139397,Hold
5/17/15,236.009995,238.024994,236.009995,236.802002,11134300,2.014999,0.008523468,Hold
